"batch","gbifID","genus","specificEpithet","decimalLatitude","decimalLongitude","eventDate","stateProvince","creator","license"
1,6442038767,"Penstemon","newberryi",36.718392,-118.829978,"2026-07-03T18:47:50","California","chihuahua_witness","CC_BY_NC_4_0"
1,3044601532,"Penstemon","davidsonii",49.387695,-123.243263,"2020-06-11T10:09:48","British Columbia","Liz","CC_BY_NC_4_0"
1,6499613933,"Penstemon","davidsonii",49.69677,-125.669633,"2026-08-08T11:12:54","British Columbia","mollynharris","CC_BY_NC_4_0"
1,3058796435,"Penstemon","newberryi",38.691576,-119.991452,"2019-08-01T10:56","California","Emma Wynn","CC0_1_0"
1,5238247517,"Penstemon","davidsonii",45.406166,-121.70565,"2025-07-26T11:08:54","Oregon","Michael Stein","CC_BY_NC_4_0"
1,4171379588,"Penstemon","newberryi",36.77047,-118.350455,"2023-07-08T10:35:21","California","jack","CC_BY_NC_4_0"
1,3859032788,"Penstemon","davidsonii",50.289307,-122.832535,"2021-06-14T13:43","British Columbia","Ellyne Geurts","CC0_1_0"
1,3466003526,"Penstemon","davidsonii",48.465017,-123.673705,"2021-05-07T12:07:23","British Columbia","Justin Dunning","CC_BY_NC_4_0"
1,3384343208,"Penstemon","davidsonii",42.699188,-118.598197,"2021-09-04T11:50:48","Oregon","Matt Reala","CC_BY_NC_4_0"
1,5187569047,"Penstemon","newberryi",40.529326,-121.530447,"2025-06-02T08:30:54","California","Canyon Schultz","CC_BY_NC_4_0"
1,5237649809,"Penstemon","newberryi",37.810762,-119.485908,"2025-07-27T12:38:35","California","davismoore","CC_BY_NC_4_0"
1,5282153074,"Penstemon","davidsonii",48.50658,-120.766853,"2025-07-23T18:15:02","Washington","Mark Robinson","CC_BY_NC_4_0"
1,3384028056,"Penstemon","newberryi",37.864163,-119.53833,"2021-07-22T10:45Z","California","amateur74","CC_BY_NC_4_0"
1,5188415923,"Penstemon","newberryi",38.198628,-119.97246,"2025-06-07T08:12:44","California","CRN","CC_BY_NC_4_0"
1,2826152183,"Penstemon","newberryi",38.6698,-120.039703,"2020-07-25T11:44:46","California","Andria E. Hernandez","CC_BY_NC_4_0"
